,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
sdiiETCCDI,10.32,10.76,9.16,12.4,10.36,10.72,9.04,12.35,10.4,10.65,8.98,12.27,11.11,9.44,13.04,11.0,9.24,12.95,11.2,9.46,13.3,11.17,9.31,13.21,11.34,9.64,13.22,11.55,9.66,13.64
suETCCDI,365.23,98.94,82.57,115.57,365.27,99.77,83.15,116.22,365.23,102.9,86.15,119.14,127.09,109.8,142.46,123.84,106.12,141.03,131.49,116.18,146.66,132.93,115.14,150.17,133.74,118.96,147.65,157.8,141.31,173.92
tas,16.46,16.46,15.77,17.17,16.61,16.5,15.79,17.25,16.95,16.7,15.9,17.49,18.03,17.25,18.82,17.97,17.09,18.89,18.35,17.61,19.1,18.52,17.59,19.47,18.61,17.86,19.34,20.06,19.1,20.98
tn10pETCCDI,10.48,10.48,5.1,17.33,9.56,10.11,4.81,17.27,7.82,8.62,3.91,14.96,2.92,0.82,5.98,3.54,1.05,7.19,2.33,0.69,4.59,2.32,0.52,4.94,2.04,0.57,4.15,0.68,0.07,1.76
tn90pETCCDI,10.48,10.48,5.04,17.73,10.48,11.2,5.24,19.25,12.19,13.29,6.14,21.77,31.96,20.77,42.93,30.29,18.56,42.29,36.01,25.42,46.67,38.07,25.7,50.44,38.52,28.86,47.82,58.11,46.19,68.43
tnnETCCDI,-6.59,-6.59,-9.85,-4.0,-5.97,-6.55,-10.08,-3.88,-5.61,-6.31,-9.9,-3.67,-4.86,-7.75,-2.4,-4.88,-8.06,-2.5,-4.51,-7.43,-2.23,-4.3,-6.88,-2.19,-4.25,-6.85,-2.22,-2.77,-5.42,-0.58
tnxETCCDI,27.16,27.16,26.2,28.2,27.2,27.24,26.19,28.31,27.38,27.45,26.36,28.59,28.8,27.68,29.96,28.77,27.68,30.0,29.07,28.02,30.2,29.37,28.2,30.66,29.3,28.25,30.48,30.99,29.67,32.38
trETCCDI,92.08,104.54,90.06,119.83,92.12,105.96,90.63,119.93,92.08,109.81,93.86,124.45,131.98,118.9,144.94,130.06,115.54,145.06,135.19,122.2,148.3,137.54,123.1,152.77,137.8,125.33,150.33,160.12,144.6,175.26
tx10pETCCDI,10.47,10.47,5.47,16.38,9.57,10.25,5.17,16.25,8.1,9.01,4.2,15.11,3.28,1.22,6.2,4.02,1.45,7.57,2.65,0.94,5.14,2.78,0.82,5.69,2.33,0.76,4.59,0.85,0.15,2.02
tx90pETCCDI,10.35,10.35,5.33,16.78,10.63,10.67,5.44,17.44,12.64,11.97,6.08,19.12,26.63,16.6,36.98,25.05,15.03,36.06,30.25,20.7,40.23,31.73,20.21,43.52,31.96,22.71,41.53,51.05,39.13,61.88
txnETCCDI,0.02,0.02,-2.52,2.38,0.52,0.02,-2.81,2.31,1.02,0.18,-2.51,2.53,1.54,-1.09,3.99,1.51,-1.1,3.8,1.95,-0.45,4.28,2.06,-0.47,4.41,2.18,-0.24,4.38,3.66,1.01,6.03
txxETCCDI,36.99,36.99,35.5,38.54,36.81,37.05,35.46,38.6,37.03,37.22,35.66,38.87,38.63,37.03,40.35,38.55,36.92,40.59,38.91,37.31,40.68,39.19,37.45,41.13,39.03,37.45,40.78,40.81,39.08,42.69
wsdiETCCDI,2.87,3.3,0.19,12.55,2.53,4.24,0.19,15.86,4.17,6.32,0.19,20.39,37.01,10.5,69.32,34.32,8.16,67.1,46.38,17.58,78.27,52.59,20.55,91.64,51.93,22.35,85.49,118.67,71.81,165.75
