,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
suETCCDI,365.23,105.37,87.19,122.56,365.27,105.19,87.56,122.31,365.23,106.85,88.91,124.39,124.83,107.26,141.14,120.3,102.86,136.15,129.17,112.91,144.59,127.13,110.44,144.42,131.19,116.16,145.11,145.02,129.32,160.53
tas,12.1,12.1,11.05,13.08,12.56,12.2,11.14,13.25,13.14,12.44,11.37,13.5,13.98,12.88,15.02,13.85,12.76,15.01,14.39,13.41,15.43,14.5,13.4,15.65,14.67,13.61,15.68,16.42,15.22,17.6
tn10pETCCDI,10.38,10.38,5.0,16.41,9.71,9.85,4.65,16.18,8.59,8.21,3.28,14.65,2.95,0.82,5.9,3.25,0.79,6.56,2.45,0.67,4.77,2.15,0.32,5.02,2.33,0.53,5.49,0.43,0.01,1.46
tn90pETCCDI,10.52,10.52,5.52,16.87,11.84,11.11,5.63,17.85,13.59,12.84,6.74,20.35,28.23,18.3,39.67,25.94,15.7,37.62,31.8,23.2,41.74,33.2,22.05,46.15,33.42,24.26,42.68,57.34,44.69,69.65
tnnETCCDI,-16.79,-16.79,-20.73,-13.53,-16.13,-16.62,-20.79,-13.02,-16.03,-16.17,-20.25,-12.69,-14.25,-18.23,-10.92,-14.34,-17.97,-10.97,-13.94,-17.69,-10.44,-13.64,-17.61,-10.23,-13.91,-18.08,-10.55,-10.89,-14.69,-7.47
tnxETCCDI,23.84,23.84,21.68,26.19,23.97,23.9,21.69,26.19,24.05,24.19,22.06,26.44,25.71,23.63,28.13,25.49,23.52,27.87,26.06,24.04,28.59,26.15,24.23,28.53,26.32,24.28,28.98,28.04,25.96,30.56
trETCCDI,92.08,34.45,21.37,47.77,92.12,35.21,21.71,48.97,92.08,38.72,25.0,53.28,58.67,45.42,73.22,56.02,42.25,70.77,62.16,49.74,74.96,63.85,49.22,78.3,63.68,51.26,76.41,87.17,73.11,100.22
tx10pETCCDI,10.34,10.34,5.73,16.21,9.69,10.24,5.45,16.41,8.51,9.36,4.86,15.04,5.04,2.34,8.56,5.55,2.49,9.36,4.3,1.99,7.53,4.31,1.66,8.05,4.0,1.57,7.12,1.69,0.39,3.53
tx90pETCCDI,10.42,10.42,4.78,17.18,11.89,10.39,4.76,17.27,14.74,11.18,5.09,18.58,20.65,11.87,30.4,17.51,9.99,26.84,23.13,14.37,32.98,21.53,12.63,31.91,24.39,15.92,34.27,36.24,25.17,48.01
txnETCCDI,-9.97,-9.97,-14.05,-6.5,-9.24,-9.81,-13.96,-6.07,-9.22,-9.58,-13.81,-5.73,-7.89,-11.72,-4.39,-7.99,-11.65,-4.74,-7.49,-11.28,-4.05,-7.24,-10.83,-3.94,-7.47,-11.27,-3.85,-5.03,-8.79,-1.77
txxETCCDI,34.74,34.74,31.3,38.26,34.65,34.72,31.37,38.09,35.14,34.94,31.49,38.29,36.42,33.03,39.84,35.86,32.46,39.33,36.77,33.33,40.13,36.56,33.5,39.73,36.92,33.52,39.9,38.38,35.23,41.54
wsdiETCCDI,1.53,2.25,0.04,10.44,5.43,2.94,0.04,12.32,8.97,4.0,0.04,15.86,17.61,1.93,41.51,12.44,0.51,32.85,22.0,4.48,47.69,19.05,2.09,44.52,23.43,4.63,48.37,56.73,20.89,96.71
