,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
suETCCDI,365.23,105.37,87.19,122.56,365.27,105.19,87.56,122.31,365.23,106.85,88.91,124.39,124.83,107.26,141.14,120.3,102.86,136.15,129.17,112.91,144.59,127.13,110.44,144.42,131.19,116.16,145.11,145.02,129.32,160.53
tas,12.1,8.88,7.83,9.86,12.56,8.98,7.92,10.03,13.14,9.22,8.15,10.28,10.76,9.66,11.8,10.63,9.54,11.79,11.17,10.19,12.2,11.28,10.18,12.43,11.45,10.39,12.46,13.2,12.0,14.38
tn10pETCCDI,10.38,10.47,5.09,16.5,9.71,9.94,4.74,16.27,8.59,8.3,3.37,14.74,3.04,0.91,5.99,3.34,0.87,6.65,2.54,0.75,4.86,2.24,0.4,5.11,2.42,0.61,5.58,0.49,0.02,1.54
tn90pETCCDI,10.52,10.47,5.47,16.82,11.84,11.06,5.58,17.81,13.59,12.79,6.69,20.3,28.19,18.26,39.63,25.89,15.65,37.58,31.75,23.16,41.69,33.15,22.0,46.1,33.37,24.21,42.64,57.29,44.65,69.61
tnnETCCDI,-16.79,-20.74,-24.68,-17.48,-16.13,-20.57,-24.74,-16.97,-16.03,-20.12,-24.2,-16.63,-18.2,-22.17,-14.87,-18.29,-21.92,-14.92,-17.89,-21.63,-14.39,-17.59,-21.56,-14.18,-17.86,-22.02,-14.5,-14.84,-18.64,-11.42
tnxETCCDI,23.84,24.9,22.74,27.25,23.97,24.96,22.74,27.25,24.05,25.25,23.12,27.49,26.77,24.69,29.19,26.55,24.58,28.93,27.12,25.1,29.64,27.21,25.29,29.59,27.38,25.34,30.03,29.1,27.02,31.62
trETCCDI,92.08,34.45,21.37,47.77,92.12,35.21,21.71,48.97,92.08,38.72,25.0,53.28,58.67,45.42,73.22,56.02,42.25,70.77,62.16,49.74,74.96,63.85,49.22,78.3,63.68,51.26,76.41,87.17,73.11,100.22
tx10pETCCDI,10.34,10.5,5.88,16.37,9.69,10.39,5.6,16.56,8.51,9.51,5.01,15.2,5.19,2.49,8.71,5.7,2.64,9.51,4.45,2.15,7.68,4.46,1.82,8.2,4.15,1.72,7.28,1.84,0.5,3.68
tx90pETCCDI,10.42,10.51,4.87,17.27,11.89,10.47,4.84,17.35,14.74,11.27,5.18,18.67,20.73,11.96,30.49,17.6,10.07,26.93,23.22,14.46,33.06,21.62,12.72,32.0,24.47,16.0,34.35,36.32,25.25,48.09
txnETCCDI,-9.97,-11.32,-15.39,-7.84,-9.24,-11.15,-15.31,-7.41,-9.22,-10.92,-15.15,-7.07,-9.24,-13.06,-5.73,-9.33,-12.99,-6.08,-8.83,-12.63,-5.4,-8.58,-12.17,-5.28,-8.81,-12.62,-5.19,-6.37,-10.14,-3.12
txxETCCDI,34.74,39.0,35.57,42.52,34.65,38.98,35.63,42.36,35.14,39.21,35.76,42.56,40.69,37.3,44.11,40.13,36.72,43.6,41.03,37.59,44.39,40.83,37.77,43.99,41.19,37.79,44.17,42.65,39.5,45.81
wsdiETCCDI,1.53,2.71,0.0,11.62,5.43,3.44,0.0,13.5,8.97,4.59,0.0,17.04,18.62,2.32,42.68,13.37,0.79,34.02,23.08,5.17,48.86,20.09,2.53,45.69,24.56,5.59,49.55,57.88,21.82,97.88
